date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb,job_id
2023-05-25,181437,lor2,-0.4480373058332027,9999.014745328848,0.0097282931540149,0.0012136720898285,0.4863199670187372,0.0335152880270484,0.0173632112526284,5157543429.014656,1776,192.0,0,chnnmotaqbbvbu6t8i20
2023-05-25,181445,lor3,-0.448775911247718,9999.802373386405,0.0073036725248917,0.0007452403773985,0.4845639045687048,0.0437667248901632,0.0222542928852011,5157543429.014656,1008,192.0,0,chnnmqs2b9sdqn1p40i0
2023-05-25,181453,sech,-0.447393374938438,9999.99369129862,0.0195672322610704,0.0010323088870584,0.4879094874947096,0.0170902172198644,0.0090606323614036,5157543429.014656,2656,192.0,0,"chnnmsouhh1ldcoc8g8g,chnnmsspd6rr9ji2oo50"
2023-05-25,181501,sech2,-0.4491319266492312,2424.892722002339,0.0515013972177623,0.0009248182129275,0.4879185397241303,0.0260969391907392,0.0135067995617995,5157543429.014656,1456,192.0,0,chnnmuouhh1ldcoc8hmg
2023-05-25,181510,gauss,-0.4465089519582016,407.6994948395719,0.2751486216457697,0.0009668417379236,0.4868435882998564,0.0290807366640932,0.0149966048914852,5157543429.014656,960,192.0,0,chnnn14pd6rr9ji2oqog
2023-05-25,181519,demkov,-0.4467270280159174,9999.999852268553,0.012459131978916,0.0015289179542936,0.4878267903371923,0.0267480607399354,0.0141374988380812,5157543429.014656,2384,192.0,0,chnnn38uhh1ldcoc8k7g
2023-05-25,190943,sq,-0.4487349112374359,148.2859553783354,0.4255561896802155,-0.0005178767820308,0.4759308589339761,0.0498014204601845,0.0245070841934333,5157543429.014656,192,192.0,0,chnogllaqbbvbu6tohhg
2023-07-02,1201,lor3,-0.4390801058184306,24.447602615599784,1.6925791385431417,0.0032156843134004,0.4861420264413374,0.084478039905773,0.0424508288217467,5157540841.667356,576,96.0,0,cig9du7985671v4kh98g
2023-07-02,1136,lor2,-0.4462066198668085,166.7071390926294,0.2991930037946259,0.000797079650737,0.4828718835038119,0.0643841586843229,0.0324394049423624,5157540841.667356,1056,96.0,0,cig9d9f985671v4kgo6g
2023-07-02,1325,gauss,-0.4452490922734564,36.76438407732789,1.1536169599199526,0.001701364453976,0.4837408010060469,0.0791320909855922,0.0395524486790965,5157540841.667356,512,96.0,0,cig9el35n9v6ta05ms70
2023-07-02,1511,sq,-0.4490101561716526,57.77736444384532,0.5729774195261563,0.000492634034336,0.4847332498549795,0.0980675981282033,0.048598299173732,5157540841.667356,96,96.0,0,cig9f7c60l54kvacs2bg
2023-07-02,1307,sech2,-0.4505869634087139,367.04686243345606,0.1716042834176302,6.089818483067668e-05,0.4792988094081667,0.0501525647628822,0.0250529084910348,5157540841.667356,800,96.0,0,cig9edm4c9s1cd7f4520
2023-07-02,1103,lor,-0.4433024368261221,9999.99962140817,0.009401074678757,0.0019329666996717,0.4863086952930925,0.035355596170572,0.0186429687252826,5157540841.667356,1904,96.0,0,"cig9cuju5mrpmccuf10g,cig9cv460l54kvacq6r0"
2023-07-02,1247,sech,-0.4428016096222754,9999.999912431576,0.0099996299721267,0.0010125430313522,0.4872519381376631,0.0324345683809538,0.0167223215722243,5157540841.667356,1456,96.0,0,"cig9e8b5n9v6ta05mhm0,cig9e8r5n9v6ta05mi6g"
2023-07-02,1404,demkov,-0.447022151157136,9985.357361602788,0.0063018715193468,0.0008736360972074,0.4818839710121367,0.0508063353362131,0.02583802167981,5157540841.667356,1328,96.0,0,"cig9erm4c9s1cd7f4geg,cig9esmp0prapsgqdqmg"
2023-07-02,020726,lor2,-0.44268376268250276,6651.887664575876,0.0074053667401919095,0.0005666437400270364,0.4812530302988562,0.06435787297023146,0.03245849150343356,5157540841.667356,704,96.0,0,cigb3ds60l54kvae5s40
