frequency_ghz,measured_signal
4.951792871699873,-10.74389357428736
4.952190606067077,-10.73953418248192
4.952588340434282,-10.75261370007552
4.952986074801487,-10.69890513403904
4.953383809168692,-10.73241393201152
4.9537815435358965,-10.65193832448
4.954179277903101,-10.68177760976896
4.954577012270305,-10.68737448902656
4.95497474663751,-10.73571501703168
4.955372481004715,-10.70212501733376
4.95577021537192,-10.6421840510976
4.9561679497391244,-10.69135068921856
4.956565684106329,-10.72700831301632
4.956963418473534,-10.6485023506432
4.957361152840738,-10.732787728384
4.957758887207943,-10.73152541065216
4.958156621575148,-10.71239804223488
4.958554355942352,-10.73516069781504
4.958952090309557,-10.67668941570048
4.959349824676762,-10.70892113199104
4.959747559043966,-10.68551490240512
4.960145293411171,-10.68963874209792
4.9605430277783755,-10.75785356017664
4.96094076214558,-10.7096385257472
4.961338496512785,-10.70743265738752
4.96173623087999,-10.66899001573376
4.962133965247194,-10.77808755376128
4.962531699614399,-10.6755304456192
4.9629294339816035,-10.76521070493696
4.963327168348808,-10.76968552398848
4.963724902716013,-10.73334674522112
4.964122637083218,-10.6581391835136
4.964520371450423,-10.6933881143296
4.964918105817627,-10.61131867127808
4.965315840184831,-10.5977244286976
4.965713574552036,-10.719617613824
4.966111308919241,-10.6582734012416
4.966509043286446,-10.54536072429568
4.966906777653651,-10.56300431572992
4.9673045120208545,-10.46408652128256
4.967702246388059,-10.32040443019264
4.968099980755264,-10.16293817843712
4.968497715122469,-10.08974321156096
4.968895449489674,-9.83235924328448
4.969293183856879,-9.6685720076288
4.969690918224083,-9.45129095430144
4.970088652591287,-9.35670973464576
4.970486386958492,-9.06599547797504
4.970884121325697,-8.90220690014208
4.971281855692902,-8.88180916092928
4.9716795900601065,-8.729470697472
4.972077324427311,-8.85570851045376
4.972475058794515,-8.97994513711104
4.97287279316172,-9.0480264085504
4.973270527528925,-9.26736770400256
4.97366826189613,-9.40670583832576
4.9740659962633345,-9.66176783990784
4.974463730630539,-9.85220266328064
4.974861464997743,-10.00831667142656
4.975259199364948,-10.1875013648384
4.975656933732153,-10.39510800433152
4.976054668099358,-10.44886153330688
4.976452402466562,-10.51562545774592
4.976850136833767,-10.52486030852096
4.977247871200972,-10.51820445138944
4.977645605568176,-10.54368702922752
4.978043339935381,-10.70226124832768
4.9784410743025855,-10.63933662199808
4.97883880866979,-10.70582875553792
4.979236543036995,-10.72833773961216
4.9796342774042,-10.75741533929472
4.980032011771404,-10.71176453455872
4.980429746138609,-10.77012911357952
4.9808274805058135,-10.760201699328
4.981225214873018,-10.74019252043776
4.981622949240223,-10.68658864422912
4.982020683607428,-10.77445964857344
4.982418417974633,-10.71932099264512
4.982816152341837,-10.65679834841088
4.983213886709041,-10.7401831251968
4.983611621076246,-10.68359760216064
4.984009355443451,-10.69382163759104
4.984407089810656,-10.78309991481344
4.984804824177861,-10.75710395416576
4.9852025585450646,-10.68720873013248
4.985600292912269,-10.69418201219072
4.985998027279474,-10.67064424923136
4.986395761646679,-10.74910591975424
4.986793496013884,-10.77990016417792
4.987191230381089,-10.71943776206848
4.9875889647482925,-10.77487303917568
4.987986699115497,-10.67785442557952
4.988384433482702,-10.63369612197888
4.988782167849907,-10.71023713681408
4.989179902217112,-10.6665445687296
4.9895776365843165,-10.68558066909184
4.989975370951521,-10.78425284509696
4.990373105318725,-10.7017062580224
4.99077083968593,-10.69390082605056
4.991168574053135,-10.7081386426368
