00000,00001,10000,10010,10100,11000,00010,00011,00100,00101,00110,00111,01000,01001,01010,01011,01100,01110,10001,10011,10110,10111,11001,11010,11100,11110,01101,01111,10101,11011,11101,11111
763,23,22,4,1,3,63,12,25,6,12,1,54,1,5,1,2,2,,,,,,,,,,,,,,
462,38,31,12,5,10,133,14,78,14,37,4,74,7,28,2,11,9,7.0,2.0,4.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,,,,
301,72,43,11,31,20,86,6,126,26,18,5,101,19,30,7,36,10,16.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,,5.0,,,
245,69,71,5,38,20,18,13,124,37,17,26,74,26,18,7,48,22,24.0,2.0,6.0,13.0,8.0,3.0,8.0,6.0,19.0,14.0,9.0,2.0,3.0,5.0
149,77,62,15,46,24,36,18,103,26,26,51,66,38,20,14,47,16,35.0,10.0,9.0,20.0,8.0,5.0,6.0,7.0,22.0,12.0,20.0,6.0,1.0,5.0
147,71,80,30,30,24,54,36,59,26,25,50,67,35,17,25,23,18,39.0,18.0,23.0,20.0,14.0,5.0,9.0,3.0,8.0,14.0,11.0,7.0,5.0,7.0
173,141,112,13,30,33,20,26,31,18,17,28,60,28,20,20,7,11,84.0,13.0,5.0,10.0,21.0,3.0,9.0,7.0,12.0,8.0,19.0,9.0,3.0,9.0
192,132,117,12,16,38,28,20,31,33,12,19,62,35,23,10,10,6,87.0,14.0,4.0,12.0,23.0,4.0,8.0,,10.0,10.0,11.0,7.0,4.0,10.0
228,107,107,31,16,36,32,28,36,21,17,16,64,32,17,12,12,8,67.0,15.0,10.0,9.0,21.0,11.0,5.0,1.0,9.0,9.0,6.0,7.0,3.0,7.0
245,113,87,26,20,23,64,37,48,13,21,16,83,25,31,9,9,6,39.0,14.0,8.0,7.0,11.0,11.0,2.0,2.0,5.0,10.0,4.0,3.0,5.0,3.0
294,97,84,6,20,23,39,31,61,15,20,13,92,35,13,13,14,12,31.0,9.0,9.0,3.0,9.0,5.0,5.0,6.0,8.0,12.0,8.0,4.0,3.0,6.0
330,84,71,13,25,26,51,17,85,17,21,16,94,16,24,13,11,4,17.0,3.0,3.0,5.0,5.0,11.0,2.0,6.0,6.0,10.0,1.0,6.0,3.0,4.0
372,70,59,16,16,22,60,31,76,12,29,10,80,12,29,9,20,11,8.0,6.0,3.0,2.0,7.0,7.0,6.0,1.0,6.0,7.0,5.0,4.0,1.0,3.0
439,72,67,14,6,25,44,20,66,12,22,6,70,19,17,8,17,17,15.0,1.0,4.0,1.0,4.0,6.0,8.0,3.0,3.0,10.0,2.0,1.0,,1.0
414,66,49,8,4,34,66,21,68,15,24,12,81,13,24,9,24,8,16.0,4.0,2.0,3.0,4.0,6.0,8.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0
367,81,56,7,12,22,66,28,77,11,21,12,85,22,28,10,9,12,19.0,2.0,10.0,5.0,7.0,2.0,,2.0,5.0,11.0,3.0,5.0,1.0,2.0
351,77,66,13,19,28,63,25,73,25,15,15,66,18,21,4,19,10,20.0,4.0,9.0,2.0,9.0,6.0,10.0,2.0,7.0,10.0,4.0,7.0,1.0,1.0
357,79,81,9,21,22,30,20,80,20,28,20,83,15,16,10,15,11,14.0,3.0,6.0,5.0,8.0,6.0,5.0,5.0,5.0,6.0,6.0,8.0,4.0,2.0
288,90,68,14,23,30,62,21,76,22,37,22,67,21,16,9,17,21,19.0,3.0,8.0,7.0,2.0,9.0,9.0,5.0,7.0,6.0,8.0,5.0,3.0,5.0
290,66,75,31,14,30,82,19,41,21,37,14,76,24,22,10,22,10,27.0,9.0,12.0,8.0,6.0,16.0,9.0,2.0,5.0,4.0,3.0,8.0,2.0,5.0
